five-year,three-year,Yuqi
OGDHL,CDC20,H2AC8
ALB,ALB,CCL20
SIX2,OGDHL,NOTUM
KRT5,BMP7,BMP7
CDC20,ANXA13,SERPINA3
SUSD2,SUSD2,FBXL16
ANXA13,EDAR,FOXA1
BMP7,REG4,NFKBIZ
NFKBIZ,NFKBIZ,CD36
PGC,BCAT1,FABP6
GUCA1C,PGC,S100B
FOXA1,SMOC1,ITM2A
HOXA10,LTK,BATF
FCGBP,MT1H,ULBP2
MFAP5,C6orf15,PAH
CD36,CTSV,IGFBP2
CTSV,H2AC8,CYP4F12
MT2A,IGFL3,CYP4X1
H2AC8,GPC6,CSF2RA
REG4,RAB27B,MYO15B
GATA4,CR2,LTK
C2orf72,C6orf58,CHAC1
ERAP2,APOL4,COL9A2
CYP24A1,MACROD2,PLAT
MYO15B,HOXA10,MB
HLA-G,FOXA1,SLC16A4
TPX2,PRAME,NPY
LYPD2,HLA-G,TCIM
SMOC1,TMEM52,KIFC2
FBXL16,PAH,IL2RG
CR2,NOTUM,AKR1B10
PRAME,HPDL,ANXA13
LRRC19,GDPD2,FCGBP
TMEM52,P2RX5,MT1H
FOXS1,,LAMC2
PNMT,,ESM1
PFKFB3,,MYEOV
FOSL1,,SIX3
DSC3,,ALB
PCOLCE2,,NCCRP1
PTX3,,IGFBP6
RAB27B,,TNNC1
S100B,,RAB27B
HRCT1,,CD22
SAMD9,,ERAP2
RNF183,,FOSL1
GIP,,SPDEF
B3GALT5,,CTSV
IGFL3,,CD79A
PCDHGB5,,BCAT1
CXCL5,,CXCL5
BCAT1,,PRAME
MT1H,,SMOC1
MTRNR2L1,,SYT12
GNG2,,LRG1
NPY,,TMEM52
ORM1,,UGT1A10
SCT,,SUSD2
DOK5,,REG4
ECHDC3,,CCN1
